titleType,originalTitle,genres,runtimeMinutes,startYear,isAdult,averageRating,region,actor,actress,director,producer
movie,Les diables,Drama,105.0,2002.0,0,7.2,XWW,"Jacques Bonnaffé, Vincent Rottiers, Rochdy Labidi",Adèle Haenel,Christophe Ruggia,Bertrand Faivre
movie,Le fils,"Drama,Mystery",99.0,2002.0,0,7.6,XWW,"Olivier Gourmet, Morgan Marinne, Nassim Hassaïni",Isabella Soupart,"Jean-Pierre Dardenne, Luc Dardenne",Denis Freyd
movie,Große Mädchen weinen nicht,Drama,87.0,2002.0,0,7.0,XWW,David Winter,"Karoline Herfurth, Josefine Domes, Anna Maria Mühe",Maria von Heland,"Judy Tossell, Andrea Willson"
movie,Sennen joyû,"Animation,Drama,Fantasy",87.0,2001.0,0,7.9,JP,Shôzô Îzuka,"Mami Koyama, Miyoko Shôji, Fumiko Orikasa",Satoshi Kon,Tarô Maki
movie,Nayak: The Real Hero,"Action,Drama,Thriller",187.0,2001.0,0,7.8,IN,"Anil Kapoor, Johnny Lever, Amrish Puri",Rani Mukerji,S. Shankar,A.M. Rathnam
movie,Une femme de ménage,"Comedy,Drama,Romance",91.0,2002.0,0,6.2,XWW,"Jean-Pierre Bacri, Jacques Frantz","Brigitte Catillon, Émilie Dequenne",Claude Berri,
movie,À la folie... pas du tout,"Romance,Thriller",92.0,2002.0,0,7.2,XWW,Samuel Le Bihan,"Isabelle Carré, Sophie Guillemin, Audrey Tautou",Laetitia Colombani,Charles Gassot
movie,Devasuram,"Action,Drama,Thriller",187.0,1993.0,0,8.7,IN,"Innocent, Mohanlal, Napolean, I.V. Sasi, Nedumudi Venu",Revathy,,V.B.K. Menon
movie,Fickende Fische,Drama,104.0,2002.0,0,6.9,XWW,"Hans Martin Stier, Tino Mewes","Annette Uhlen, Sophie Rogall",Almut Getto,Herbert Schwering
movie,Pattanapravesam,"Comedy,Thriller",158.0,1988.0,0,8.1,IN,"Karamana Janardanan Nair, Mohanlal, Sreenivasan",Ambika,Sathyan Anthikad,Siyad Koker
movie,Spadikam,"Action,Drama",150.0,1995.0,0,8.6,IN,"Mohanlal, Thilakan, Sphadikam George",Urvashi,Bhadran,R. Mohan
movie,Varavelpu,"Comedy,Drama",144.0,1989.0,0,8.1,IN,"Mohanlal, Murali, Sreenivasan",Revathy,Sathyan Anthikad,K. Rajagopal
movie,Apsolutnih sto,"Action,Crime,Drama",93.0,2001.0,0,7.5,XWW,"Sasa Ali, Vuk Kostic, Srdjan 'Zika' Todorovic",Paulina Manov,Srdan Golubovic,Ana Stanic
movie,Dil Chahta Hai,"Comedy,Drama,Romance",183.0,2001.0,0,8.1,IN,"Aamir Khan, Saif Ali Khan, Akshaye Khanna",Preity Zinta,Farhan Akhtar,Ritesh Sidhwani
movie,The Recruit,"Action,Thriller",115.0,2003.0,0,6.6,CA,"Al Pacino, Colin Farrell, Gabriel Macht",Bridget Moynahan,Roger Donaldson,"Jeff Apple, Gary Barber"
movie,El hijo de la novia,"Comedy,Drama",123.0,2001.0,0,7.8,XWW,"Héctor Alterio, Eduardo Blanco, Ricardo Darín",Norma Aleandro,Juan José Campanella,"Mariela Besuievsky, Fernando Blanco, Pablo Bossi, Gerardo Herrero"
movie,No Good Deed,"Action,Crime,Drama",103.0,2002.0,0,5.5,JP,"Samuel L. Jackson, Stellan Skarsgård, Doug Hutchison",Milla Jovovich,Bob Rafelson,"Barry M. Berg, David Braun"
movie,800 balas,"Action,Comedy,Drama",124.0,2002.0,0,6.4,XWW,"Ángel de Andrés López, Sancho Gracia, Eusebio Poncela",Carmen Maura,Álex de la Iglesia,
movie,Décalage horaire,"Comedy,Romance",91.0,2002.0,0,6.1,CA,"Jean Reno, Scali Delpeyrat, Sergi López",Juliette Binoche,Danièle Thompson,Alain Sarde
movie,Erkan & Stefan gegen die Mächte der Finsternis,"Adventure,Comedy",80.0,2002.0,0,4.1,XWW,"Florian Simbeck, John Friedmann, Stephan Schulberg",Bettina Zimmermann,Axel Sand,"Mischa Hofmann, Philip Voges"
movie,Guerreros,"Adventure,Drama,War",96.0,2002.0,0,6.3,XWW,"Eloy Azorín, Eduardo Noriega, Rubén Ochandiano",Carla Pérez,Daniel Calparsoro,
movie,Lajja,"Crime,Drama",202.0,2001.0,0,6.7,IN,"Jackie Shroff, Ajay Devgn","Madhuri Dixit, Manisha Koirala",Rajkumar Santoshi,
movie,Rush Hour 3,"Action,Comedy,Crime",91.0,2007.0,0,6.2,CA,"Jackie Chan, Chris Tucker, Max von Sydow, Hiroyuki Sanada",,Brett Ratner,"Andrew Z. Davis, Roger Birnbaum, Jonathan Glickman"
